0,000,3410.3
0,100,332.9
0,200,292.7
0,300,271.5
0,400,261.8
0,500,275.0
0,600,249.3



1,000,192.7
1,100,183.3
1,200,181.3
1,300,186.4
1,400,168.6
1,500,185.9
1,600,179.2









2,000,140.2
2,100,141.7
2,200,140.8
2,300,123.8
2,400,109.9
2,500,144.2
2,600,131.3










3,000,105.7
3,100,107.1
3,200,105.8
3,300,131.9
3,400,114.5
3,500,124.7
3,600,119.2









4,000,106.5
4,100,82.8
4,200,93.0
4,300,112.4
4,400,92.1
4,500,103.7
4,600,93.1









5,000,88.2
5,100,81.5
5,200,88.8
5,300,100.6
5,400,107.3
5,500,87.6
5,600,91.7









6,000,76.3
6,100,74.2
6,200,88.9
6,300,83.0
6,400,78.2
6,500,79.8
6,600,77.4









7,000,78.0
7,100,82.1
7,200,86.6
7,300,73.4
7,400,85.1
7,500,74.5
7,600,76.6


8,000,71.4
8,100,71.2
8,200,74.2
8,300,70.2
8,400,65.1
8,500,107.9
8,600,67.8









9,000,70.0
9,100,67.8
9,200,58.3
9,300,62.6
9,400,74.8
9,500,64.9
9,600,80.0









10,000,55.1
10,100,69.5
10,200,52.6
10,300,63.8
10,400,62.9
10,500,69.4
10,600,78.8









11,000,65.2
11,100,50.4
11,200,52.5
11,300,58.4
11,400,76.0
11,500,66.8
11,600,80.2









12,000,75.8
12,100,61.9
12,200,74.4
12,300,64.4
12,400,68.5
12,500,63.8
12,600,73.7









13,000,47.5
13,100,57.3
13,200,46.5
13,300,57.5
13,400,48.3
13,500,44.7
13,600,82.6









14,000,53.1
14,100,38.1
14,200,44.8
14,300,45.1
14,400,63.0
14,500,41.5
14,600,52.3









15,000,37.7
15,100,42.3
15,200,44.9
15,300,49.2
15,400,47.6
15,500,58.7
15,600,45.7









16,000,46.2
16,100,46.2
16,200,48.2
16,300,54.5
16,400,53.5
16,500,71.5
16,600,47.1









17,000,54.6
17,100,38.9
17,200,47.2
17,300,73.2
17,400,54.1
17,500,55.8
17,600,49.9









18,000,38.6
18,100,33.7
18,200,32.2
18,300,30.8
18,400,34.6
18,500,33.8
18,600,41.4









19,000,39.1
19,100,40.0
19,200,40.7
19,300,54.5
19,400,39.0
19,500,49.0
19,600,39.6









20,000,34.7
20,100,35.4
20,200,54.7
20,300,46.9
20,400,50.1
20,500,40.7
20,600,40.7









21,000,30.2
21,100,32.6
21,200,47.7
21,300,53.5
21,400,32.5
21,500,47.4
21,600,51.0









22,000,19.2
22,100,33.5
22,200,33.9
22,300,26.8
22,400,42.9
22,500,28.4
22,600,31.1









23,000,39.8
23,100,32.7
23,200,27.3
23,300,35.9
23,400,38.6
23,500,34.0
23,600,30.5









24,000,27.3
24,100,31.2
24,200,27.7
24,300,28.1
24,400,29.3
24,500,37.7
24,600,37.2









25,000,27.2
25,100,21.8
25,200,26.4
25,300,31.5
25,400,29.3
25,500,35.8
25,600,32.5









26,000,25.1
26,100,36.3
26,200,33.9
26,300,31.5
26,400,32.1
26,500,32.8
26,600,23.3









27,000,18.4
27,100,35.9
27,200,24.6
27,300,29.1
27,400,29.8
27,500,22.6
27,600,38.7









28,000,20.7
28,100,19.0
28,200,32.1
28,300,26.1
28,400,29.8
28,500,29.7
28,600,31.4









29,000,16.2
29,100,29.8
29,200,20.8
29,300,22.6
29,400,27.5
29,500,27.5
29,600,30.5









30,000,23.1
30,100,30.4
30,200,27.8
30,300,24.1
30,400,24.7
30,500,27.7
30,600,19.8









31,000,29.3
31,100,23.9
31,200,24.3
31,300,17.2
31,400,19.5
31,500,30.2
31,600,30.2









32,000,15.4
32,100,29.2
32,200,34.4
32,300,23.6
32,400,27.5
32,500,25.7
32,600,19.0









33,000,28.5
33,100,22.5
33,200,34.2
33,300,31.0
33,400,17.2
33,500,25.9
33,600,24.7









34,000,18.6
34,100,30.2
34,200,20.2
34,300,26.7
34,400,37.5
34,500,18.7
34,600,25.8









35,000,19.4
35,100,21.9
35,200,25.3
35,300,25.8
35,400,21.6
35,500,28.6
35,600,15.5









36,000,20.8
36,100,20.2
36,200,25.5
36,300,22.2
36,400,21.3
36,500,34.6
36,600,16.5









37,000,17.5
37,100,19.1
37,200,21.6
37,300,22.6
37,400,25.1
37,500,23.2
37,600,18.0









38,000,17.7
38,100,19.9
38,200,26.5
38,300,16.9
38,400,17.7
38,500,19.1
38,600,24.6









39,000,22.9
39,100,21.3
39,200,14.4
39,300,19.4
39,400,24.9
39,500,19.8
39,600,19.7









40,000,19.7
40,100,15.1
40,200,14.9
40,300,13.9
40,400,20.3
40,500,21.3
40,600,30.9







